species;genus;family;Order;class
Saccopetalum longiflorum;Saccopetalum;Annonaceae;Magnoliales;Magnoliopsida
Micropora curtisii;Micropora;Lauraceae;Laurales;Magnoliopsida
Systemonodaphne geminiflora;Systemonodaphne;Lauraceae;Laurales;Magnoliopsida
Craibella phuyensis;Craibella;Annonaceae;Magnoliales;Magnoliopsida
Pseudannona grandiflora;Pseudannona;Annonaceae;Magnoliales;Magnoliopsida
Myrtastrum rufopunctatum;Myrtastrum;Myrtaceae;Myrtales;Magnoliopsida
Mutisiopersea urbaniana;Mutisiopersea;Lauraceae;Laurales;Magnoliopsida
Mutisiopersea costata;Mutisiopersea;Lauraceae;Laurales;Magnoliopsida
Misanteca tenuifolia;Misanteca;Lauraceae;Laurales;Magnoliopsida
Misanteca mutisii;Misanteca;Lauraceae;Laurales;Magnoliopsida
Gamanthera herrerae;Gamanthera;Lauraceae;Laurales;Magnoliopsida
Xylopia mucronata;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Xylopia longipetala;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Xylopia dehiscens;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Xylopia chrysophylla;Xylopia;Annonaceae;Magnoliales;Magnoliopsida
Guatteria laurifolia;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Piper sempervirens;Piper;Piperaceae;Pinales;Pinopsida
Piper secundum;Piper;Piperaceae;Pinales;Pinopsida
Piper san-vicentense;Piper;Piperaceae;Pinales;Pinopsida
Piper rugulosum;Piper;Piperaceae;Pinales;Pinopsida
Piper propinquum;Piper;Piperaceae;Pinales;Pinopsida
Piper productispicum;Piper;Piperaceae;Pinales;Pinopsida
Piper nanegalense;Piper;Piperaceae;Pinales;Pinopsida
Piper cumanense;Piper;Piperaceae;Pinales;Pinopsida
Piper bredemeyeri;Piper;Piperaceae;Pinales;Pinopsida
Persea pallida;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea pallescens;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea odoratissima;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea macrantha;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea gamblei;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea fruticosa;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea excelsa;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea declinata;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea caesia;Persea;Lauraceae;Magnolianae;Magnoliopsida
Persea benthamiana;Persea;Lauraceae;Magnolianae;Magnoliopsida
Piper timothianum;Piper;Piperaceae;Piperales;Magnoliopsida
Guatteria ucayalina;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria trichocarpa;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria ramiflora;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria moralesii;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria longipetiolata;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria klugii;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria juninensis;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria hispida;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria geminiflora;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria friesiana;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria eriopoda;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria darienensis;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria cryandra;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Guatteria blepharophylla;Guatteria;Annonaceae;Magnoliales;Magnoliopsida
Lecardia megaphylla;Lecardia;Celastraceae;Celastrales;Magnoliopsida
Feronia elephantum;Feronia;Rutaceae;Sapindales;Magnoliopsida
Viposia integerrima;Viposia;Celastraceae;Celastrales;Magnoliopsida
Vernoniopsis caudata;Vernoniopsis;Asteraceae;Asterales;Magnoliopsida
