sp,N,N_geoOK,N_geoKO,rangeMethod,Ncells
Abarema_abbottii,3,3,0,Points-PointsKO-Adjacents,21
Abarema_acreana,18,9,9,Points-PointsKO-Adjacents,162
Abarema_adenophora,141,77,64,Alphahull-PointsKO-Adjacents,4552
Abarema_alexandri,2,2,0,Points-PointsKO-Adjacents,18
Abarema_asplenifolia,1,1,0,Points-PointsKO-Adjacents,8
Abarema_auriculata,74,40,34,Alphahull-PointsKO-Adjacents,2275
Abarema_barbouriana,304,221,83,Alphahull-PointsKO-Adjacents,21281
Abarema_brachystachya,172,0,172,Points-PointsKO-Adjacents,976
Abarema_callejasii,14,6,8,Points-PointsKO-Adjacents,94
Abarema_campestris,35,10,25,Points-PointsKO-Adjacents,245
Abarema_centiflora,2,2,0,Points-PointsKO-Adjacents,18
Abarema_cochleata,157,112,45,Alphahull-PointsKO-Adjacents,6740
Abarema_cochliocarpos,37,18,19,Points-PointsKO-Adjacents,212
Abarema_commutata,9,3,6,Points-PointsKO-Adjacents,81
Abarema_curvicarpa,24,7,17,Points-PointsKO-Adjacents,165
Abarema_ferruginea,8,0,8,Points-PointsKO-Adjacents,48
Abarema_filamentosa,280,217,63,Alphahull-PointsKO-Adjacents,2064
Abarema_floribunda,85,41,44,Alphahull-PointsKO-Adjacents,2906
Abarema_gallorum,6,2,4,Points-PointsKO-Adjacents,41
Abarema_ganymedea,8,2,6,Points-PointsKO-Adjacents,61
Abarema_glauca,19,1,18,Points-PointsKO-Adjacents,134
Abarema_idiopoda,103,69,34,Alphahull-PointsKO-Adjacents,1160
Abarema_josephi,6,1,5,Points-PointsKO-Adjacents,54
Abarema_jupunba,1143,995,148,Alphahull-PointsKO-Adjacents,82831
Abarema_killipii,48,29,19,Alphahull-PointsKO-Adjacents,408
Abarema_laeta,218,168,50,Alphahull-PointsKO-Adjacents,17332
Abarema_langsdorffii,311,257,54,Alphahull-PointsKO-Adjacents,4390
Abarema_lehmannii,60,47,13,Alphahull-PointsKO-Adjacents,497
Abarema_leucophylla,72,55,17,Alphahull-PointsKO-Adjacents,2135
Abarema_levelii,9,1,8,Points-PointsKO-Adjacents,63
Abarema_longipedunculata,15,6,9,Points-PointsKO-Adjacents,102
Abarema_macradenia,58,40,18,Alphahull-PointsKO-Adjacents,584
